"","Brewery","Beer","Street","Street2","City","State","Zip","Latitude","Longitude"
"183","Jackie O's Pub & Brewery","Bourbon Barrel Oro Negro","24 W Union St","","Athens","OH","45701","25.7995463",-80.1975284
"184","Jackie O's Pub & Brewery","Bourbon Barrel Champion Ground","24 W Union St","","Athens","OH","45701","25.7995463",-80.1975284
"185","Jester King Brewery","Montmorency Vs Balaton","13005 Fitzhugh Road","Bld. B","Austin","TX","78736","40.2351985",-74.04515
"186","Jester King Brewery","Sherry Barrel Atrial Rubicite","13005 Fitzhugh Road","Bld. B","Austin","TX","78736","40.2351985",-74.04515
"187","Jester King Brewery","Atrial Rubicite","13005 Fitzhugh Road","Bld. B","Austin","TX","78736","40.2351985",-74.04515
"188","Kane Brewing Company","Mexican Brunch","1750 Bloomsbury Ave","","Ocean","NJ","7712","39.32764514",-82.10223129
"189","Kane Brewing Company","Sunday Brunch","1750 Bloomsbury Ave","","Ocean","NJ","7712","39.32764514",-82.10223129
"190","Kane Brewing Company","A Night To End All Dawns","1750 Bloomsbury Ave","","Ocean","NJ","7712","39.32764514",-82.10223129
"191","Kern River Brewing Company","Citra","13415 Sierra Way","","Kernville","CA","93238","35.7574666",-118.4214856
"192","Kern River Brewing Company","Winter Ale (5th Anniversary Ale)","13415 Sierra Way","","Kernville","CA","93238","35.7574666",-118.4214856
"193","Kern River Brewing Company","Citra Double IPA","13415 Sierra Way","","Kernville","CA","93238","35.7574666",-118.4214856
"194","Kern River Brewing Company","Winter Ale / 5th Anniversary Ale","13415 Sierra Way","","Kernville","CA","93238","35.7574666",-118.4214856
"195","Kuhnhenn Brewing Company","Kuhnhenn Bourbon Barrel Barley Wine","5919 Chicago Rd","","Warren","MI","48092","42.52771028",-83.04704389
"196","Kuhnhenn Brewing Company","Kuhnhenn Raspberry Eisbock","5919 Chicago Rd","","Warren","MI","48092","42.52771028",-83.04704389
"197","Kuhnhenn Brewing Company","Kuhnhenn Bourbon Barrel Fourth Dementia","5919 Chicago Rd","","Warren","MI","48092","42.52771028",-83.04704389
"198","La Cumbre Brewing Company","Project Dank","3313 Girard Blvd NE","","Albuquerque","NM","87107","35.11789781",-106.6138649
"199","La Cumbre Brewing Company","Elevated IPA","3313 Girard Blvd NE","","Albuquerque","NM","87107","35.11789781",-106.6138649
"200","Lagunitas Brewing Company","ScareCity #3: High West-ified Imperial Coffee Stout","1280 N McDowell Blvd","","Petaluma","CA","94954","38.27264795",-122.6619197
"201","Lagunitas Brewing Company","Lagunitas Sucks (Brown Shugga Substitute Ale)","1280 N McDowell Blvd","","Petaluma","CA","94954","38.27264795",-122.6619197
"202","Lagunitas Brewing Company","Born Yesterday Pale Ale","1280 N McDowell Blvd","","Petaluma","CA","94954","38.27264795",-122.6619197
"203","Lagunitas Brewing Company","High West-ified Imperial Coffee Stout","1280 N McDowell Blvd","","Petaluma","CA","94954","38.27264795",-122.6619197
"386","Lagunitas Brewing Company","Born Yesterday APA","1280 N McDowell Blvd","","Petaluma","CA","94954","38.27264795",-122.6619197
"204","Lawson's Finest Liquids","Double Sunshine IPA","Not Open to Public","","Warren","VT","5674","44.1143066",-73.1359318
"205","Lawson's Finest Liquids","Triple Sunshine IPA","Not Open to Public","","Warren","VT","5674","44.1143066",-73.1359318
"206","Lawson's Finest Liquids","Sip Of Sunshine","Not Open to Public","","Warren","VT","5674","44.1143066",-73.1359318
"207","Lift Bridge Brewery","Barrel-Aged Silhouette","1900 Tower Dr W","","Stillwater","MN","55082","45.0391054",-92.8317848
"208","Live Oak Brewing Company","Live Oak HefeWeizen","1615 Crozier Ln","","Del Valle","TX","78617","45.0391054",-92.8317848
